#code|abbreviation|type|name|unit|scale|reference|width|crex_unit|crex_scale|crex_width
001192|IcaoLocationIndicator|string|ICAO LOCATION INDICATOR|CCITT IA5|0|0|32|
053014|Rel.humidity,dev.fromAnalysis|double|REL.HUMIDITY,DEV.FROM ANALYSIS|%|1|-1000|12|
053015|Thickness,dev.fromAnalysis|long|THICKNESS,DEV.FROM ANALYSIS|m2 s-2|0|-10000|16|
053021|Geopotential,dev.fr.initializedAnalysis|long|GEOPOTENTIAL,DEV.FR.INITIALIZED ANALYSIS|m2 s-2|0|-10000|16|
053022|U-component,dev.fr.initializedAnalysis|double|U-COMPONENT,DEV.FR.INITIALIZED ANALYSIS|m/s|1|-2000|13|
053023|V-component,dev.fr.initializedAnalysis|double|V-COMPONENT,DEV.FR.INITIALIZED ANALYSIS|m/s|1|-2000|13|
053024|Rel.humidity,dev.fr.initializedAnalysis|double|REL.HUMIDITY,DEV.FR.INITIALIZED ANALYSIS|%|1|-1000|12|
053025|Thickness,dev.fr.initializedAnalysis|long|THICKNESS,DEV.FR.INITIALIZED ANALYSIS|m2 s-2|0|-10000|16|
053031|Geopotential,dev.fromForecastA|long|GEOPOTENTIAL,DEV.FROM FORECAST A|m2 s-2|0|-10000|16|
053032|U-component,dev.fromForecastA|double|U-COMPONENT,DEV.FROM FORECAST A|m/s|1|-2000|13|
053033|V-component,dev.fromForecastA|double|V-COMPONENT,DEV.FROM FORECAST A|m/s|1|-2000|13|
053034|Rel.humidity,dev.fromForecastA|double|REL.HUMIDITY,DEV.FROM FORECAST A|%|1|-1000|12|
053035|Thickness,dev.fromForecastA|long|THICKNESS,DEV.FROM FORECAST A|m2 s-2|0|-10000|16|
053041|Geopotential,dev.fromForecastB|long|GEOPOTENTIAL,DEV.FROM FORECAST B|m2 s-2|0|-10000|16|
053042|U-component,dev.fromForecastB|double|U-COMPONENT,DEV.FROM FORECAST B|m/s|1|-2000|13|
053043|V-component,dev.fromForecastB|double|V-COMPONENT,DEV.FROM FORECAST B|m/s|1|-2000|13|
053044|Rel.humidity,dev.fromForecastB|double|REL.HUMIDITY,DEV.FROM FORECAST B|%|1|-1000|12|
053045|Thickness,dev.fromForecastB|long|THICKNESS,DEV.FROM FORECAST B|m2 s-2|0|-10000|16|
053051|Geopotential,dev.fromForecastC|long|GEOPOTENTIAL,DEV.FROM FORECAST C|m2 s-2|0|-10000|16|
053052|U-component,dev.fromForecastC|double|U-COMPONENT,DEV.FROM FORECAST C|m/s|1|-2000|13|
053053|V-component,dev.fromForecastC|double|V-COMPONENT,DEV.FROM FORECAST C|m/s|1|-2000|13|
053054|Rel.humidity,dev.fromForecastC|double|REL.HUMIDITY,DEV.FROM FORECAST C|%|1|-1000|12|
053055|Thickness,dev.fromForecastC|long|THICKNESS,DEV.FROM FORECAST C|m2 s-2|0|-10000|16|
053061|Geopotential,QualityFlags|table|GEOPOTENTIAL, QUALITY FLAGS|Flag table|0|0|14|
053062|U-component,QualityFlags|table|U-COMPONENT, QUALITY FLAGS|Flag table|0|0|14|
053063|V-component,QualityFlags|table|V-COMPONENT, QUALITY FLAGS|Flag table|0|0|14|
053064|Rel.humidity,QualityFlags|table|REL.HUMIDITY, QUALITY FLAGS|Flag table|0|0|14|
053065|Thickness,QualityFlags|table|THICKNESS, QUALITY FLAGS|Flag table|0|0|14|
054201|YearOfDecoding|long|YEAR OF DECODING|a|0|0|12|
054202|MonthOfDecoding|long|MONTH OF DECODING|mon|0|0|4|
054203|DayOfDecoding|long|DAY OF DECODING|d|0|0|6|
054204|HourOfDecoding|long|HOUR OF DECODING|h|0|0|5|
054205|MinuteOfDecoding|long|MINUTE OF DECODING|min|0|0|6|
054211|NumberOfDayOfMrzBack-upFile|long|NUMBER OF DAY OF MRZ BACK-UP FILE|d|0|0|6|
054212|NumberOfRecordOnMrzBack-upFile|long|NUMBER OF RECORD ON MRZ BACK-UP FILE|Numeric|0|0|18|
054213|DecodingRunningOnMfa/mfb(values1/0)|long|DECODING RUNNING ON MFA/MFB (VALUES 1/0)|Numeric|0|0|2|
055192|KindOfPlants|table|KIND OF PLANTS|Code table|0|0|7|
055193|StepOfGrowth|table|STEP OF GROWTH|Code table|0|0|7|
055194|ProgressOfGrowth|table|PROGRESS OF GROWTH|Code table|0|0|4|
055195|PlantDamage|table|PLANT DAMAGE|Code table|0|0|4|
055201|TypeOfLandSurface|table|TYPE OF LAND SURFACE|Code table|0|0|5|
055202|PlantCover|long|PLANT COVER|%|0|0|7|
055203|LeafAreaIndex|long|LEAF AREA INDEX|%|0|0|7|
